-0.5	0	0.04	2	0.01	0
-0.46	0	0.04	2	0.02	0
-0.42	0	0.04	2	0.03	0
-0.38	0	0.04	2	0.04	0
-0.34	0	0.04	2	0.05	0
-0.3	0	0.04	2	0.06	0
-0.26	0	0.04	2	0.07	0
-0.22	0	0.04	2	0.08	0
-0.18	0	0.04	2	0.09	0
-0.14	0	0.04	2	0.1	0
-0.1	0	0.04	2	0.11	0
-0.06	0	0.04	2	0.12	0
-0.02	0	0.04	2	0.13	0
0.02	0	0.04	2	0.14	0
0.06	0	0.04	2	0.15	0
0.1	0	0.04	2	0.16	0
0.14	0	0.04	2	0.17	0
0.18	0	0.04	2	0.18	0
0.22	0	0.04	2	0.19	0
0.26	0	0.04	2	0.2	0
0.3	0	0.04	2	0.21	0
0.34	0	0.04	2	0.22	0
0.38	0	0.04	2	0.23	0
0.42	0	0.04	2	0.24	0
0.46	0	0.04	2	0.25	0
0.5	0	0.04	2	0.26	0
0.54	0	0.04	2	0.27	0
0.58	0	0.04	2	0.28	0
0.62	0	0.04	2	0.29	0
0.66	0	0.04	2	0.3	0
0.7	0	0.04	2	0.31	0
0.74	0	0.04	2	0.32	0
0.78	0	0.04	2	0.33	0
0.82	0	0.04	2	0.34	0
0.86	0	0.04	2	0.35	0
0.9	0	0.04	2	0.36	0
0.94	0	0.04	2	0.37	0
0.98	0	0.04	2	0.38	0
